,dependency,repo,dependencyType,monthsFromAbandonmentToRemoval,depAbandonedAt,abandonmentTypeBinary,statusEver,repoAgeAtAbandonment,totalNumDependencies,numNormalDeps,numDevDeps,totalDependencyChurn,repoSize,numCommits,numMaintainers,numCorporateCommits,useDepManagementTools,hasCoC,hasContributing,hasLicense,hasIssueTemplate,hasPRTemplate,hasREADME,numREADMEHeaders,avgTechnicalLagDays,medianTechnicalLagDays,hasTechnicalLag,numIssuesOpened,numIssuesClosed,latestCommit,numStarsCurrent
376,react-css-themr,gaultierq/jinv,dependency,NA,9/1/17,activity-based,0,3,55,55,0,69,2468,44,1,0,0,0,0,0,0,0,1,0,27.06,0,1,0,0,9/1/18,0
116,clarifai,gautambitious/Face-Rec-React,dependency,NA,7/1/20,explicit-notice,0,7,10,10,0,10,2688,8,1,0,0,0,0,0,0,0,1,12,89.125,93.5,1,0,0,12/1/20,0
63,express-jwt,gbif/portal16,dependency,NA,1/1/18,activity-based,0,24,179,179,0,374,44936,1496,2,0,0,0,0,0,0,0,1,26,158.5930233,0,1,348,192,11/1/23,22
253,react-native,gbuszmicz/firebase-auth-app,dependency,NA,1/1/17,activity-based,0,9,22,12,10,22,620,6,1,0,1,0,0,0,0,0,1,12,104.047619,30,1,0,0,3/1/18,18
38,vue-bootstrap-datetimepicker,geckse/event-plugin-explorer,dependency,NA,10/1/18,explicit-notice,0,4,11,8,3,13,540,9,1,0,0,0,0,0,0,0,1,1,18.875,0,1,0,0,12/1/18,0
623,request,geneontology/amigo,dependency,NA,2/1/20,explicit-notice,0,73,56,36,20,0,83644,11,2,0,0,0,1,1,0,0,1,18,341.9814815,0,1,21,5,11/1/23,28
282,generate-defaults,generate/generate-install,dependency,NA,3/1/17,activity-based,0,9,14,9,5,41,76,38,1,0,0,0,1,1,0,0,1,13,0,0,0,3,1,9/1/17,7
518,tslint,genexuslabs/web-standard-functions,devDependency,28,1/1/20,explicit-notice,1,16,30,12,18,46,2380,130,4,0,1,0,0,1,0,0,1,6,101.4444444,0,1,3,2,8/1/23,0
695,request,geodesignhub/3DViewer,dependency,NA,2/1/20,explicit-notice,0,48,5,5,0,0,2728,8,1,0,0,0,0,1,0,0,1,3,370.25,2,1,0,0,10/1/23,8
109,casperjs,geordanr/xwing,devDependency,NA,4/1/16,explicit-notice,0,27,14,0,14,6,5704,210,3,0,0,0,0,1,0,0,1,0,34.83333333,0,1,78,51,8/1/18,98
811,turf-buffer,geosolutions-it/MapStore2-C028,dependency,NA,6/1/17,explicit-notice,0,3,162,97,65,162,684,20,2,0,0,0,0,1,0,0,1,0,182.8216561,95,1,3,3,7/1/20,2
189,shortid,germanger/synced-youtube,dependency,NA,7/1/20,explicit-notice,0,63,9,9,0,0,420,3,2,0,0,0,0,0,0,0,1,8,1202.375,1351.5,1,0,0,8/1/20,1
275,react-document-title,getsentry/zeus,dependency,NA,2/1/18,activity-based,0,7,74,73,1,112,13580,993,1,0,0,0,1,1,0,0,1,22,68.18309859,0,1,28,4,4/1/21,208
762,nodemailer-sendgrid-transport,ghaiklor/sails-service-mailer,dependency,NA,11/1/18,activity-based,0,42,18,8,10,93,120,97,2,0,1,0,0,1,0,0,1,14,44.41176471,0,1,0,0,3/1/21,31
440,isomorphic-fetch,ghing/learning-collaborative-maps,dependency,NA,12/1/17,activity-based,0,21,47,23,24,17,544,31,1,0,0,0,0,0,0,0,1,22,152.3333333,0,1,26,2,3/1/21,0
482,pouchdb-replication-stream,gingko/client,dependency,1,8/1/18,activity-based,1,23,44,29,15,257,191556,588,1,0,0,0,1,1,0,0,1,7,53.85,0,1,21,5,11/1/23,332
917,supertest-as-promised,gisat/puma,devDependency,10,12/1/16,explicit-notice,1,35,35,28,7,31,9612,935,3,0,0,0,0,0,0,0,1,0,223.9285714,0,1,0,0,3/1/19,4
378,dbgeo,giserworld/postgis-editor,dependency,NA,8/1/17,activity-based,0,16,22,14,8,1,7940,11,1,0,0,0,0,1,0,0,1,4,99.71428571,0,1,0,0,6/1/18,0
411,laravel-elixir,Gizburdt/cuztom,dependency,NA,3/1/20,explicit-notice,0,74,10,8,2,0,1160,0,0,0,0,0,0,1,0,0,1,6,807,996,1,0,0,4/1/23,242
772,gl-shader,gl-vis/gl-axes3d,dependency,NA,1/1/17,activity-based,0,35,13,13,0,0,524,5,3,0,0,0,0,1,0,0,1,18,33.66666667,0,1,0,0,4/1/20,22
663,request,gmarcusmartinez/MyTineraryPWA,dependency,0,2/1/20,explicit-notice,1,8,20,19,1,123,3136,64,1,0,0,0,0,0,0,0,0,-1,32.72222222,0,1,0,0,4/1/20,0
131,iscroll,gooodhub/goood-site-dev,dependency,NA,7/1/17,explicit-notice,0,12,47,40,7,71,31240,872,5,0,0,0,0,0,0,0,1,7,57.3255814,0,1,0,0,2/1/21,2
817,merge-graphql-schemas,gorillalogic/FootballLeaguesDemoBackend,dependency,NA,5/1/20,explicit-notice,0,8,39,19,20,40,688,18,3,0,1,0,0,0,0,0,0,-1,290.2571429,331,1,0,0,6/1/20,4
148,twitter,got-show/got.data,dependency,13,3/1/18,activity-based,1,25,19,14,5,0,2308,0,0,0,0,0,0,1,0,0,1,7,358.0714286,320.5,1,0,0,4/1/19,1
234,ethereumjs-tx,Goyemon/goyemon-wallet,dependency,NA,4/1/20,explicit-notice,0,13,59,54,5,70,6048,2052,2,0,0,0,0,0,0,0,1,10,68.76363636,0,1,3,1,10/1/20,5
484,express-formidable,Gracrys/rrhh_manager,dependency,NA,5/1/20,explicit-notice,0,6,32,22,10,32,2664,26,1,0,1,0,0,0,0,0,1,8,3.387096774,0,1,0,0,8/1/20,0
204,easy-table,Grademark/grademark-first-example,dependency,NA,11/1/18,activity-based,0,1,5,5,0,7,336,15,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,4/1/22,19
821,videojs-contrib-hls,Great-Lakes-Planetarium-Association/live.glpa.org,dependency,NA,8/1/18,explicit-notice,0,11,26,26,0,28,9444,55,1,0,0,0,0,0,0,0,0,-1,211.375,0,1,0,0,11/1/21,0
608,react-timer-mixin,greentogo/g2gmobile,dependency,NA,7/1/19,explicit-notice,0,28,25,18,7,68,19400,144,1,0,0,0,0,0,0,0,1,0,96.39130435,0,1,0,0,10/1/21,0
288,sw-toolbox,gritsayuk/NBU,dependency,NA,4/1/19,explicit-notice,0,3,31,30,1,32,2840,5,1,0,0,0,0,0,0,0,0,-1,204,108,1,0,0,11/1/19,0
887,extract-text-webpack-plugin,gskrap/cdi-front-end,dependency,NA,5/1/19,explicit-notice,0,26,33,28,5,0,340,10,1,0,0,0,0,0,0,0,1,1,274.625,85,1,0,0,1/1/20,0
604,react-router-redux,guardian/atom-workshop,dependency,NA,7/1/18,explicit-notice,0,18,53,29,24,2,2440,283,5,0,0,0,0,0,0,0,1,4,186.2244898,32,1,1,0,12/1/23,2
401,fs-promise,gucong3000/mirror-config-china,dependency,3,5/1/17,explicit-notice,1,5,8,2,6,19,72,49,2,0,1,0,0,1,0,0,1,5,0,0,0,4,4,5/1/23,459
571,react-navigation-stack,guiaramos/instagram-interface,dependency,NA,2/1/20,explicit-notice,0,5,16,7,9,16,916,6,2,0,1,0,1,0,0,0,1,10,82.4,11,1,0,0,7/1/20,0
74,babel-preset-env,guylyons/csartmaine-wp,dependency,5,7/1/17,explicit-notice,1,10,12,12,0,103,2080,75,1,0,0,0,0,0,0,0,1,4,5,0,1,0,0,3/1/18,0
263,three-orbitcontrols,hakatashi/esolang-battle,dependency,41,12/1/19,explicit-notice,1,37,74,62,12,124,7840,82,1,0,0,0,0,1,0,0,1,11,5.23943662,0,1,0,0,10/1/23,12
857,eslint-loader,hakoemmy/MyBurger,dependency,NA,9/1/20,explicit-notice,0,9,41,41,0,43,392,5,2,0,1,0,0,1,0,0,1,1,778.5897436,944,1,0,0,9/1/21,1
425,babel-plugin-transform-decorators-legacy,han88829/react_template,dependency,4,9/1/18,activity-based,1,3,48,48,0,48,884,2,2,0,0,0,0,0,0,0,1,8,255.4255319,322,1,0,0,1/1/19,0
309,grunt-contrib-less,Handsoncode/handsoncode.net,dependency,4,10/1/18,activity-based,1,37,8,3,5,0,4200,0,0,0,0,0,0,0,0,0,0,-1,989.5714286,1154,1,0,0,7/1/23,0
62,express-jwt,hanting001/smartContract,dependency,NA,1/1/18,activity-based,0,1,18,17,1,18,348,79,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,11/1/18,0
112,angular-loading-bar,hantsy/angular-es6-sample,dependency,NA,5/1/17,activity-based,0,11,66,18,48,197,552,20,1,0,0,0,0,1,0,0,1,1,95.42857143,0,1,0,0,9/1/17,8
630,request,Hanul/ubm,dependency,2,2/1/20,explicit-notice,1,39,9,8,1,169,23272,14,1,0,0,0,1,1,0,1,1,11,43.5,43.5,1,0,0,12/1/20,0
106,nodeunit,haraka/Haraka,devDependency,41,5/1/18,explicit-notice,1,52,26,21,5,35,4952,268,16,0,1,0,1,1,1,1,1,9,24.4375,0,1,145,132,11/1/23,4601
339,hubot-suggest,hashashin/ambrosio-tele,dependency,NA,1/1/18,activity-based,0,47,140,134,6,590,508,654,1,0,0,0,0,0,0,0,1,0,8.796296296,0,1,0,0,4/1/20,0
32,angular-ui-bootstrap,HBPMedical/portal-frontend,dependency,4,5/1/19,explicit-notice,1,40,102,53,49,196,53924,631,2,0,0,0,1,1,0,0,1,18,287.9166667,205.5,1,0,0,10/1/23,5
124,mongoose-auto-increment,hbseo/OSD_note,dependency,NA,7/1/19,explicit-notice,0,28,10,9,1,0,4360,0,0,0,0,0,0,0,1,0,1,10,149.25,2.5,1,0,0,3/1/21,0
366,node-red-node-openwhisk,hcuervo/h,dependency,NA,12/1/17,activity-based,0,9,15,15,0,15,184,1,1,0,0,0,0,0,0,0,0,-1,858.5,1130.5,1,0,0,4/1/20,0
738,rollup-plugin-buble,headwirecom/peregrine-cms,dependency,NA,10/1/19,explicit-notice,0,30,12,12,0,151,184612,435,12,0,0,0,0,1,0,0,0,-1,23.9,0,1,62,53,8/1/22,51
386,node-horseman,HEG-Arc/papersim-backend,dependency,11,11/1/17,explicit-notice,1,14,30,16,14,22,2596,84,1,0,0,0,0,0,0,0,1,0,154.6666667,14.5,1,0,0,4/1/19,0
231,typescript-eslint-parser,Helco/github-project-workflow-bot,devDependency,NA,1/1/19,explicit-notice,0,2,13,3,10,13,632,18,1,0,0,0,1,1,0,0,1,7,70.63636364,0,1,0,0,7/1/19,0
362,jest-environment-jsdom-fourteen,hellorayza/react-cesium-app,dependency,NA,11/1/20,explicit-notice,0,14,59,59,0,0,16052,10,2,0,1,0,0,0,0,0,1,12,389.4285714,435,1,0,0,5/1/21,0
310,grunt-contrib-less,hellowin/sails-permissions-mongo-error,dependency,NA,10/1/18,activity-based,0,41,32,31,1,0,980,0,0,0,0,0,0,0,0,0,1,2,878.1935484,836,1,0,0,3/1/20,0
177,ionic-plugin-keyboard,henrikmerlander/ionic-cocktails,dependency,NA,1/1/18,explicit-notice,0,6,31,28,3,93,2732,175,1,0,0,0,0,0,0,0,1,1,103.1,49,1,0,0,9/1/18,0
701,request,heremaps/here-cli,dependency,2,2/1/20,explicit-notice,1,17,49,28,21,28,1388,267,5,0,1,0,1,1,0,0,1,9,132.3777778,0,1,52,22,11/1/22,38
480,cli,hex7c0/mongodb-backup-cli,dependency,NA,1/1/17,activity-based,0,25,3,2,1,10,56,24,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,3/1/17,16
627,request,hguerrero/rh-forum-demo-cloud-app,dependency,NA,2/1/20,explicit-notice,0,52,21,7,14,0,84,0,0,0,0,0,0,1,0,0,1,4,1490,1680.5,1,0,0,5/1/21,0
589,react-router-redux,hhhhz/tomatobean,dependency,NA,7/1/18,explicit-notice,0,7,22,9,13,22,1108,45,2,0,0,0,0,1,0,0,1,20,110.45,0,1,0,0,7/1/19,0
586,react-router-redux,hide-aki/utter,dependency,4,7/1/18,explicit-notice,1,13,115,90,25,97,44336,139,1,0,0,0,0,1,0,0,0,-1,72.03603604,0,1,0,0,7/1/19,0
120,toastr,hieuntsg/user-management-react,dependency,NA,9/1/18,activity-based,0,10,46,9,37,91,388,3,1,0,0,0,0,1,0,0,1,1,599.3777778,728,1,0,0,2/1/19,1
13,ng2-dnd,hisptz/dhis2-touch,dependency,NA,3/1/18,activity-based,0,18,73,69,4,561,6592,654,1,0,0,0,0,0,0,0,1,5,37.25352113,0,1,0,0,5/1/20,3
658,request,hmcts/div-decree-nisi-frontend,dependency,NA,2/1/20,explicit-notice,0,21,71,34,37,61,8212,138,9,0,0,0,1,1,1,1,1,4,98.69230769,0,1,0,0,6/1/23,2
708,request,hmcts/probate-caveats-frontend,dependency,NA,2/1/20,explicit-notice,0,15,71,36,35,87,2504,866,7,0,0,0,0,1,0,0,1,9,79.5,0,1,0,0,12/1/23,1
19,vis,hmcts/reform-api-docs,dependency,NA,7/1/19,explicit-notice,0,23,7,6,1,3,10432,250,1,0,0,0,0,1,0,0,1,11,180,126.5,1,0,0,12/1/23,2
145,axe-puppeteer,HMPO/hmpo-journey-tester,devDependency,14,9/1/20,explicit-notice,1,35,13,8,5,19,160,57,1,0,0,0,0,1,0,0,1,5,4.454545455,0,1,0,0,1/1/22,0
881,extract-text-webpack-plugin,holderdeord/hdo-portal,dependency,NA,5/1/19,explicit-notice,0,39,39,37,2,0,372,0,0,0,0,0,0,1,0,0,1,1,454.3783784,548,1,0,0,4/1/21,0
879,extract-text-webpack-plugin,hrmJ/kielimeta_front,dependency,NA,5/1/19,explicit-notice,0,2,67,35,32,68,948,55,1,0,0,0,0,0,0,0,0,-1,21.64615385,0,1,0,0,10/1/19,2
665,request,hrrytech92/TypeScript-Node-Starter,dependency,1,2/1/20,explicit-notice,1,33,67,24,43,119,2764,87,1,0,1,0,1,1,0,0,1,51,4.142857143,0,1,0,0,4/1/22,1
909,json-loader,hsz/react-app-rewire-yaml,dependency,NA,8/1/18,explicit-notice,0,5,2,2,0,2,28,3,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,9/1/18,15
176,ionic-plugin-keyboard,htatjana/parkingSpot,dependency,NA,1/1/18,explicit-notice,0,7,36,26,10,38,7588,14,2,0,0,0,0,0,0,0,1,0,183.2058824,37,1,0,0,7/1/18,0
295,sw-toolbox,hugessen/Lazsoc-2.0,dependency,NA,4/1/19,explicit-notice,0,32,38,34,4,0,94988,0,0,0,0,0,0,1,0,0,1,6,454.5135135,619,1,0,0,5/1/20,0
755,svg-inline-loader,hull-ships/hull-shortener,dependency,NA,10/1/20,explicit-notice,0,38,70,43,27,0,1740,15,2,0,0,0,0,0,0,0,1,3,547.2537313,469,1,0,0,4/1/21,3
802,react-native-google-places,huuthinh245/Vstartup,dependency,NA,5/1/19,explicit-notice,0,12,67,54,13,141,325016,85,3,0,0,0,0,1,0,0,0,-1,152.234375,0,1,0,0,7/1/19,1
536,get-env,huw/nu,dependency,10,9/1/17,activity-based,1,43,33,33,0,59,60984,44,1,0,0,0,0,1,0,0,0,-1,59.86666667,0,1,0,0,6/1/20,0
677,request,Ianfeather/worthawatch-import,dependency,NA,2/1/20,explicit-notice,0,17,17,6,11,0,204,0,0,0,0,0,0,0,0,0,1,5,202.875,0,1,0,0,3/1/22,0
676,request,ibi-group/datatools-ui,devDependency,NA,2/1/20,explicit-notice,0,47,106,79,27,119,16760,459,3,0,1,0,0,1,1,1,1,4,175.3861386,0,1,37,16,12/1/23,101
54,atom-space-pen-views,icetee/remote-ftp,dependency,NA,1/1/17,activity-based,0,30,14,9,5,12,340,148,9,0,0,0,0,1,0,0,1,6,38.61538462,0,1,290,243,1/1/20,555
525,tslint,ied206/vscode-pebakery,devDependency,29,1/1/20,explicit-notice,1,26,4,0,4,16,208,11,1,0,0,0,0,1,0,0,1,11,2.333333333,0,1,0,0,6/1/22,3
312,grunt-contrib-less,ig3/ghosditor,dependency,NA,10/1/18,activity-based,0,53,21,21,0,0,1456,0,0,0,0,0,0,0,0,0,1,3,1012.368421,1101,1,0,0,2/1/22,1
796,co,ignaszewski/gusia,dependency,NA,1/1/17,activity-based,0,2,10,10,0,10,72,8,3,0,0,0,0,0,0,0,1,1,4.777777778,0,1,0,0,10/1/17,0
334,gulp-util,igoratron/circus,dependency,NA,12/1/17,explicit-notice,0,23,14,9,5,0,100,4,2,0,0,0,0,1,0,0,1,8,217.9166667,0,1,0,0,3/1/19,2
318,gulp-util,ijmccallum/ReduxPlay,dependency,NA,12/1/17,explicit-notice,0,21,12,12,0,0,88,0,0,0,0,0,0,0,0,0,1,0,184,0,1,0,0,3/1/18,0
531,paypal-rest-sdk,IkraP/shoplocal-paypal-backend,dependency,NA,5/1/20,explicit-notice,0,3,6,6,0,6,72,7,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,12/1/20,0
706,request,imqueue/travis,dependency,NA,2/1/20,explicit-notice,0,21,27,2,25,0,144,0,0,0,0,0,0,1,0,0,1,2,184.9166667,0,1,0,0,11/1/23,4
819,ng2-select,Imran251/fast-travel-client,dependency,NA,4/1/18,activity-based,0,4,38,19,19,38,2256,39,1,0,0,0,0,0,0,0,1,7,75.16666667,0,1,0,0,8/1/18,0
