npmPackageName,slug,repoArchived,READMEKeyword,READMEBadge,activityBasedAbandoned,maxNumDownloads,isAbandoned,numStars
hexy,a2800276/hexy.js,0,0,0,0,58533,0,96
ng-sortable,a5hik/ng-sortable,0,0,0,0,476050,0,1151
react-native-exception-handler,a7ul/react-native-exception-handler,0,0,0,0,59795,0,1552
angular-filter,a8m/angular-filter,0,0,0,1,154846,1,2928
deep-keys,a8m/deep-keys,0,0,0,1,38729,1,23
vkbeautify,aabluedragon/vkbeautify,0,0,0,0,237062,0,9
node-rest-client,aacerox/node-rest-client,0,0,0,1,380329,1,377
circular-dependency-plugin,aackerman/circular-dependency-plugin,0,0,0,0,6974161,0,897
jschardet,aadsm/jschardet,0,0,0,0,5120207,0,688
redux-responsive,aaivazis/redux-responsive,1,0,0,1,176992,1,477
react-native-dialogs,aakashns/react-native-dialogs,0,0,0,0,30197,0,602
react-overlay-loader,aakashns/react-overlay-loader,0,0,0,0,10300,0,9
jquery.marquee,aamirafridi/jQuery.Marquee,0,0,0,0,15146,0,956
interval-operations,aanckar/interval-operations,0,0,0,0,25837,0,6
pino-sentry,aandrewww/pino-sentry,0,0,0,0,10879,0,59
winston-sentry-raven-transport,aandrewww/winston-sentry-raven-transport,0,0,0,0,51570,0,16
winston-transport-sentry-node,aandrewww/winston-transport-sentry-node,0,0,0,0,74157,0,56
fn-annotate,aantthony/annotate,0,0,0,0,64104,0,4
routes,aaronblohowiak/routes.js,0,0,0,0,31731,0,319
react-card-flip,AaronCCWong/react-card-flip,0,0,0,0,30587,0,322
penpal,Aaronius/penpal,0,0,0,0,157225,0,367
karma-webpack-with-fast-source-maps,aaronjensen/karma-webpack,0,0,0,0,49721,0,37
cvss,aaronmccall/cvss,0,0,0,0,527212,0,11
dynamodb-admin,aaronshaf/dynamodb-viewer,0,0,0,0,36261,0,1293
react-toggle,aaronshaf/react-toggle,0,0,0,0,476293,0,944
gulp-jest,aarontrank/gulp-jest,0,0,0,0,47545,0,53
react-modal-image,aautio/react-modal-image,0,0,0,0,31880,0,186
angularx-social-login,abacritt/angularx-social-login,0,0,NA,0,62993,0,621
eris,abalabahaha/eris,0,0,0,0,29381,0,1464
opusscript,abalabahaha/opusscript,0,0,0,0,248863,0,58
zlib-sync,abalabahaha/zlib-sync,0,0,0,0,65786,0,36
@abandonware/noble,abandonware/noble,0,0,0,0,16272,0,517
@abandonware/bluetooth-hci-socket,abandonware/node-bluetooth-hci-socket,0,0,0,0,18952,0,40
netsuite-suitetalk,abaruh/netsuite-suitetalk,0,0,0,1,26960,1,7
express-async-handler,Abazhenov/express-async-handler,0,0,0,0,280924,0,554
react-native-best-viewpager,abbasmoosavi/react-native-best-viewpager,0,0,0,0,11117,0,22
deasync,abbr/deasync,0,0,0,0,3600793,0,932
react-hotjar,abdalla/react-hotjar,0,0,0,0,118227,0,157
react-progressbar,abdennour/react-progressbar,0,0,0,0,78879,0,88
gatsby-plugin-module-resolver,abdullahceylan/gatsby-plugin-module-resolver,0,0,0,0,26368,0,5
vault-auth-aws,abdullahshahin/vault-auth-aws,0,0,0,1,28593,1,14
reactable,abdulrahman-khankan/reactable,0,0,0,0,41992,0,22
atom-utils,abe33/atom-utils,0,0,0,0,125770,0,9
chartjs-plugin-crosshair,abelheinsbroek/chartjs-plugin-crosshair,0,0,0,0,24672,0,139
@joethefkingfrypan/sequelize-replace-enum-postgres,abelosorio/sequelize_replace_enum_postgres,0,0,0,0,31082,0,49
ngx-text-diff,ABenassi87/ngx-text-diff,0,0,0,0,16163,0,50
angular2-image-upload,aberezkin/ng2-image-upload,0,0,0,0,10201,0,232
redux-persist-cookie-storage,abersager/redux-persist-cookie-storage,0,0,0,1,58745,1,91
cypress-react-selector,abhinaba-ghosh/cypress-react-selector,0,0,0,0,25682,0,271
playwright-lighthouse,abhinaba-ghosh/playwright-lighthouse,0,0,0,0,10083,0,202
yup-phone,abhisekp/yup-phone,0,0,0,0,11525,0,235
protractor-html-reporter-2,abhishekkyd/protractor-html-reporter-2,0,0,0,0,53796,0,3
jasmine2-protractor-utils,abhishekswain/jasmine2-protractor-utils,0,0,0,1,25099,1,18
pwstrength-bootstrap,ablanco/jquery.pwstrength.bootstrap,0,0,0,0,12949,0,376
@ably/msgpack-js,ably-forks/msgpack-js,0,0,0,0,106617,0,0
ably,ably/ably-js,0,0,0,0,103026,0,290
